compound_system,material_id,formula,num_clusters,cluster_sizes,average_distance,space_group,point_groups,predicted_dimentionality,norm_svals,energy_above_hull,formation_energy_per_atom,band_gap,total_magnetization,min_avg_distance,symmetry,rank_score
Nb-Cl,mp-29339,Lu(NbCl3)6,1,[6],[2.9643982837902123],R-3m,{'X0': 'Oh'},2D,"[1.0, 0.4550609724137109, 0.26302215043876925]",0.0,-1.620221497666666,0.09199999999999901,1.0,2.9643982837902123,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3' number=148 point_group='-3' symprec=0.1 angle_tolerance=5.0 version='2.5.0',-1.2426591533554296
Nb-Cl,mp-568478,Nb6Tl2VCl18,1,[6],[2.947451001136528],R-3m,{'X0': 'Oh'},2D,"[1.0, 0.44523378952115983, 0.2573421010624605]",0.023889087962968,-1.6096248143209881,0.259999999999999,3.0008483,2.947451001136528,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3' number=148 point_group='-3' symprec=0.1 angle_tolerance=5.0 version='2.5.0',-1.3226910896210473
Nb-Cl,mp-29950,Nb3Cl8,2,"[3, 3]","[2.8110747220237022, 2.8110612895158753]",P-3m1,{'X0': 'D3h'},2D,"[1.0, 0.6523130522123398, 0.3762999391265306]",0.0,-1.45420768090909,0.1451,1.9932237,2.8110612895158753,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-3m1' number=164 point_group='-3m' symprec=0.1 angle_tolerance=5.0 version='2.5.0',-1.8480178112550059
Nb-Cl,mp-1224709,K(Nb2Cl5)4,4,"[6, 6, 6, 6]","[2.9386089846233774, 2.9386089846233774, 2.941921597802223, 2.9338352142580852]",P1,"{'X0': 'Oh', 'X1': 'C1', 'X2': 'Cs'}",2D,"[1.0, 0.7492864525712601, 0.522152535458193]",0.0,-1.739027820364942,0.0,0.8585252,2.9338352142580852,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='Pm' number=6 point_group='m' symprec=0.1 angle_tolerance=5.0 version='2.5.0',-1.9294873881711287
Nb-Cl,mp-686087,Li3(Nb2Cl5)8,8,"[6, 2, 3, 2, 3, 3, 6, 6]","[2.945761609226424, 2.8930869815728117, 2.910426362776206, 2.9047660732706797, 2.9129940241249472, 2.926497557904405, 2.939176313405581, 2.9408352980875208]",P1,"{'X0': 'Cs', 'X1': 'D*h', 'X2': 'C2v', 'X3': 'D*h', 'X4': 'D3h', 'X5': 'D3h', 'X6': 'D3d', 'X7': 'Oh'}",2D,"[1.0, 0.9964862098407289, 0.5004557434638406]",0.012024316951182001,-1.466139370439888,0.023499999999999,0.9999998,2.8930869815728117,crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 angle_tolerance=5.0 version='2.5.0',-1.9375526082125318
Nb-Cl,mp-570921,CsLu(NbCl3)6,1,[6],[2.927766181485575],P6/mmm,{'X0': 'Ci'},2D,"[1.0, 0.6500892136332406, 0.38500692475874776]",0.0,-1.911929672743148,0.946299999999999,0.0383282,2.927766181485575,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-31c' number=163 point_group='-3m' symprec=0.1 angle_tolerance=5.0 version='2.5.0',-2.055664732210213
Nb-Cl,mp-778180,CsTi(NbCl3)6,1,[6],[2.925653824185789],P6/mmm,{'X0': 'Ci'},2D,"[1.0, 0.6555634892630834, 0.37848975699693]",0.017678687596108,-1.539882631410242,0.0,2.1137843,2.925653824185789,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-31c' number=163 point_group='-3m' symprec=0.1 angle_tolerance=5.0 version='2.5.0',-2.1253200923405196
Nb-Cl,mp-561357,TiNb3Cl7O2,2,"[3, 2]","[2.989596611577348, 3.0198813875188337]",P1,"{'X0': 'Cs', 'X1': 'D*h'}",3D,"[1.0, 0.8191584407258587, 0.7004860881493923]",0.0,-2.110440672564102,0.0,0.2621053,2.989596611577348,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2/c' number=15 point_group='2/m' symprec=0.1 angle_tolerance=5.0 version='2.5.0',-2.4852487854903913
Nb-Cl,mp-1213417,CsNb3VCl11,4,"[3, 3, 3, 3]","[2.856969719113882, 2.856969719113866, 2.856969719113877, 2.8569697191138843]",Pnma,{'X0': 'D3h'},2D,"[1.0, 0.7897128262065977, 0.4009599288727978]",0.039734535703125004,-1.558155052890622,0.0,0.0349156,2.856969719113866,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 angle_tolerance=5.0 version='2.5.0',-2.4987092883508173
Nb-Cl,mp-1211867,KNb3VCl11,4,"[3, 3, 3, 3]","[2.8439409655489825, 2.84394096554899, 2.843940965548988, 2.8439409655489922]",Pnma,{'X0': 'D3h'},2D,"[1.0, 0.7641505205743975, 0.39879191077339105]",0.052237557860576,-1.721430779203125,0.038899999999999005,0.1610419,2.8439409655489825,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 angle_tolerance=5.0 version='2.5.0',-2.5364373206808137
